Time,CellId,RNTI,BWPId,SINR(dB)
1.11993,2,3,0,71.7734
1.11993,4,3,0,-1.01627
1.11993,4,2,0,6.91398
1.12029,4,5,0,78.1925
1.1205,4,4,0,82.0174
1.12064,4,3,0,69.9452
1.12079,4,2,0,73.4244
1.12093,2,2,0,25.2893
1.12093,2,1,0,35.6564
1.12093,4,1,0,84.7384
1.12129,4,5,0,72.0545
1.12143,4,4,0,75.4313
1.12157,4,3,0,63.5076
1.12171,4,2,0,68.8466
1.12186,4,1,0,78.4073
1.12193,2,5,0,64.8662
1.12193,2,4,0,73.5281
1.12193,2,3,0,63.5251
1.12193,2,2,0,63.946
1.12293,2,2,0,5.91559
1.12293,2,1,0,3.80362
1.12293,4,3,0,-3.06374
1.12293,4,2,0,2.89448
1.12329,4,5,0,79.0797
1.1235,4,4,0,82.9419
1.12364,4,3,0,71.2035
1.12379,4,2,0,73.8311
1.12393,2,3,0,24.5232
1.12393,4,1,0,85.9938
1.12429,2,5,0,76.0395
1.1245,2,4,0,84.0302
1.12464,2,3,0,73.9907
1.12479,2,2,0,74.9355
1.12493,4,2,0,23.3001
1.12493,2,1,0,85.1317
1.12529,2,5,0,21.8082
1.12529,4,5,0,22.9512
1.1255,2,4,0,21.6622
1.1255,4,4,0,19.4812
1.12564,2,3,0,9.12432
1.12564,4,3,0,0.700946
1.12579,2,2,0,10.7426
1.12579,4,2,0,11.2736
1.12593,2,1,0,10.2289
1.12593,4,1,0,58.4666
1.12629,2,5,0,70.6464
1.1265,2,4,0,78.6176
1.12664,2,3,0,68.6982
1.12679,2,2,0,69.6567
1.12693,4,5,0,30.4811
1.12693,4,4,0,32.7218
1.12693,4,3,0,21.2105
1.12693,4,2,0,23.1965
1.12693,2,1,0,79.8745
1.12793,2,2,0,5.54889
1.12793,2,1,0,3.91416
1.12793,4,3,0,-3.22651
1.12793,4,2,0,2.62679
1.12829,2,5,0,21.9661
1.12829,4,5,0,22.9665
1.1285,2,4,0,21.6374
1.1285,4,4,0,19.5695
1.12864,2,3,0,9.15026
1.12864,4,3,0,0.675064
1.12879,2,2,0,10.5442
1.12879,4,2,0,11.2335
1.12893,2,1,0,10.1736
1.12893,4,1,0,58.4261
1.12929,2,5,0,21.7807
1.12929,4,5,0,22.9784
1.1295,2,4,0,21.6546
1.1295,4,4,0,19.6209
1.12964,2,3,0,8.9891
1.12964,4,3,0,0.691976
1.12979,2,2,0,10.5239
1.12979,4,2,0,11.2182
1.12993,2,1,0,10.1065
1.12993,4,1,0,58.3337
1.13093,2,5,0,21.0887
1.13093,2,4,0,19.6575
1.13093,2,3,0,7.22899
1.13093,4,5,0,20.7208
1.13093,4,4,0,15.3262
1.13093,4,3,0,-0.757044
1.13129,4,5,0,72.0485
1.1315,4,4,0,75.2895
1.13164,4,3,0,63.4641
1.13179,4,2,0,68.8443
1.13193,2,5,0,27.4137
1.13193,2,4,0,33.6045
1.13193,2,3,0,23.5192
1.13193,2,2,0,25.3916
1.13193,4,1,0,78.4776
1.13229,4,5,0,78.9871
1.1325,4,4,0,82.8798
1.13264,4,3,0,71.2268
1.13279,4,2,0,73.8488
1.13293,2,1,0,35.6847
1.13293,4,1,0,85.8393
1.13393,2,5,0,75.9575
1.13393,2,4,0,82.9734
1.13393,2,3,0,73.436
1.13393,4,3,0,-0.364726
1.13493,2,5,0,21.0304
1.13493,2,4,0,18.8807
1.13493,2,3,0,8.54198
1.13493,4,5,0,72.7808
1.13493,4,4,0,75.9358
1.13493,4,3,0,63.4129
1.13493,4,2,0,69.099
1.13593,2,3,0,5.85745
1.13593,4,4,0,80.5469
1.13593,4,3,0,70.5868
1.13629,2,5,0,21.9044
1.13629,4,5,0,22.8316
1.1365,2,4,0,21.27
1.1365,4,4,0,20.1183
1.13664,2,3,0,9.34096
1.13664,4,3,0,0.527362
1.13679,2,2,0,10.5985
1.13679,4,2,0,11.3244
1.13693,2,1,0,10.1074
1.13693,4,1,0,57.9803
1.13729,2,5,0,75.6123
1.13743,2,4,0,83.3501
1.13757,2,3,0,73.5823
1.13771,2,2,0,74.3542
1.13786,2,1,0,84.5506
1.13793,4,4,0,73.1532
1.13829,4,5,0,77.2897
1.1385,4,4,0,81.4651
1.13864,4,3,0,69.3983
1.13879,4,2,0,73.2789
1.13893,2,5,0,28.6115
1.13893,2,3,0,24.7056
1.13893,4,1,0,84.0121
1.13986,2,5,0,73.1508
1.13986,2,4,0,80.6234
1.13986,2,3,0,71.1716
1.13993,4,4,0,70.7963
1.13993,4,3,0,61.1346
1.14029,2,5,0,22.1424
1.14029,4,5,0,22.8634
1.1405,2,4,0,21.2971
1.1405,4,4,0,20.4087
1.14064,2,3,0,9.36483
1.14064,4,3,0,0.418765
1.14079,2,2,0,10.7773
1.14079,4,2,0,11.5638
1.14093,2,1,0,10.1805
1.14093,4,1,0,57.8368
1.14193,2,5,0,72.7209
1.14193,4,3,0,-4.32006
1.14229,4,5,0,78.8498
1.1425,4,4,0,83.2861
1.14264,4,3,0,71.2968
1.14279,4,2,0,73.9122
1.14293,2,4,0,34.6088
1.14293,4,1,0,85.7212
1.14329,2,5,0,69.0239
1.1435,2,4,0,76.697
1.14364,2,3,0,66.8945
1.14379,2,2,0,67.9611
1.14393,4,5,0,30.2257
1.14393,4,4,0,33.1519
1.14393,4,3,0,21.249
1.14393,4,2,0,23.8271
1.14393,2,1,0,78.0601
1.14429,2,5,0,22.3785
1.14429,4,5,0,22.7097
1.1445,2,4,0,21.4122
1.1445,4,4,0,20.4363
1.14464,2,3,0,9.24494
1.14464,4,3,0,0.326934
1.14479,2,2,0,10.857
1.14479,4,2,0,11.2977
1.14493,2,1,0,10.1062
1.14493,4,1,0,57.6962
1.14593,2,5,0,71.937
1.14593,2,2,0,70.1024
1.14593,2,1,0,80.3205
1.14593,4,5,0,19.7182
1.14593,4,3,0,-0.405697
1.14629,2,5,0,76.4693
1.1465,2,4,0,84.012
1.14664,2,3,0,73.9797
1.14679,2,2,0,75.0192
1.14693,4,3,0,22.6392
1.14693,2,1,0,84.9714
1.14729,2,5,0,22.4137
1.14729,4,5,0,22.7384
1.1475,2,4,0,21.5399
1.1475,4,4,0,20.3406
1.14764,2,3,0,9.2308
1.14764,4,3,0,0.234316
1.14779,2,2,0,10.808
1.14779,4,2,0,11.0318
1.14793,2,1,0,10.2438
1.14793,4,1,0,57.4214
1.14829,4,5,0,71.7169
1.1485,4,4,0,75.6034
1.14864,4,3,0,63.4274
1.14879,4,2,0,68.6656
1.14893,2,5,0,27.8356
1.14893,2,4,0,33.7548
1.14893,2,3,0,23.6205
1.14893,2,2,0,25.5536
1.14893,4,1,0,78.1492
1.14993,2,5,0,22.7523
1.14993,2,4,0,20.5748
1.14993,2,3,0,8.55289
1.14993,2,1,0,8.75526
1.14993,4,5,0,21.5643
1.14993,4,4,0,16.7565
1.14993,4,3,0,-0.330102
1.14993,4,2,0,6.52752
1.15093,2,2,0,72.398
1.15093,2,1,0,82.7975
1.15093,4,3,0,-2.77104
1.15129,4,5,0,78.8275
1.1515,4,4,0,83.1839
1.15164,4,3,0,71.1089
1.15179,4,2,0,73.6922
1.15193,2,2,0,25.6041
1.15193,4,1,0,85.454
1.15293,2,5,0,73.0152
1.15293,4,3,0,-4.61442
1.15329,2,5,0,69.2446
1.1535,2,4,0,76.7856
1.15364,2,3,0,66.9491
1.15379,2,2,0,67.9613
1.15393,4,5,0,29.8929
1.15393,4,4,0,33.0039
1.15393,4,3,0,21.9888
1.15393,4,2,0,21.5371
1.15393,2,1,0,77.9981
1.15486,2,3,0,63.5119
1.15486,2,1,0,75.2788
1.15493,4,3,0,61.2922
1.15493,4,2,0,61.6753
1.15529,4,5,0,78.9473
1.1555,4,4,0,83.2488
1.15564,4,3,0,71.1722
1.15579,4,2,0,73.8129
1.15593,2,2,0,25.6246
1.15593,4,1,0,85.44
1.15629,2,5,0,22.7073
1.15629,4,5,0,23.1114
1.1565,2,4,0,21.4225
1.1565,4,4,0,20.3321
1.15664,2,3,0,9.18528
1.15664,4,3,0,0.344063
1.15679,2,2,0,11.1435
1.15679,4,2,0,11.4917
1.15693,2,1,0,10.1782
1.15693,4,1,0,57.334
1.15729,2,5,0,76.6424
1.1575,2,4,0,84.0992
1.15764,2,3,0,73.9568
1.15779,2,2,0,74.9877
1.15793,4,3,0,22.6963
1.15793,2,1,0,84.9685
1.15829,2,5,0,22.6198
1.15829,4,5,0,23.2203
1.1585,2,4,0,21.2979
1.1585,4,4,0,20.4229
1.15864,2,3,0,9.1187
1.15864,4,3,0,0.410385
1.15879,2,2,0,11.1754
1.15879,4,2,0,11.6103
1.15893,2,1,0,10.1179
1.15893,4,1,0,57.4864
1.15929,4,5,0,78.1858
1.1595,4,4,0,82.4166
1.15964,4,3,0,69.9889
1.15979,4,2,0,73.5793
1.15993,2,3,0,23.8682
1.15993,2,1,0,35.4413
1.15993,4,1,0,84.3045
1.16029,2,5,0,22.6165
1.16029,4,5,0,23.2479
1.1605,2,4,0,21.4006
1.1605,4,4,0,20.6486
1.16064,2,3,0,9.26338
1.16064,4,3,0,0.436097
1.16079,2,2,0,11.4074
1.16079,4,2,0,11.6514
1.16093,2,1,0,9.94431
1.16093,4,1,0,57.3059
1.16193,2,2,0,72.6297
1.16193,2,1,0,82.6827
1.16193,4,3,0,-2.62746
1.16229,4,5,0,79.0641
1.1625,4,4,0,83.5706
1.16264,4,3,0,71.3102
1.16279,4,2,0,74.1466
1.16293,2,2,0,25.8121
1.16293,4,1,0,85.63
1.16393,2,5,0,22.103
1.16393,2,2,0,10.2423
1.16393,2,1,0,7.65079
1.16393,4,5,0,74.5711
1.16393,4,4,0,78.155
1.16393,4,3,0,65.3565
1.16393,4,2,0,70.8551
1.16429,2,5,0,72.4131
1.1645,2,4,0,80.2716
1.16464,2,3,0,70.1439
1.16479,2,2,0,71.1279
1.16493,4,5,0,30.0184
1.16493,4,4,0,33.1788
1.16493,4,3,0,22.374
1.16493,2,1,0,80.9513
1.16529,2,5,0,69.4308
1.1655,2,4,0,76.9983
1.16564,2,3,0,67.1209
1.16579,2,2,0,68.0662
1.16593,4,5,0,30.4001
1.16593,4,4,0,33.2594
1.16593,4,3,0,21.327
1.16593,4,2,0,23.9413
1.16593,2,1,0,77.9745
1.16693,2,2,0,3.05387
1.16693,4,3,0,-6.05562
1.16729,2,5,0,22.6976
1.16729,4,5,0,23.4638
1.1675,2,4,0,21.6843
1.1675,4,4,0,20.3201
1.16764,2,3,0,9.46504
1.16764,4,3,0,0.368615
1.16779,2,2,0,11.1914
1.16779,4,2,0,11.3864
1.16793,2,1,0,9.65161
1.16793,4,1,0,57.8373
1.16893,2,2,0,69.5935
1.16893,2,1,0,79.6407
1.16893,4,4,0,15.2009
