Time,direction,frame,subF,slot,1stSym,nSymbol,cellId,bwpId,rnti,tbSize,mcs,rank,rv,SINR(dB),CQI,corrupt,TBler
1.04279,DL,104,2,0,9,2,3,0,2,2,1110,4,1,0,60.0818,0,0
1.04293,DL,104,2,0,1,12,1,0,3,3,16118,28,1,1,18.0012,0,0
1.04293,DL,104,2,0,11,2,3,0,1,1,16118,28,1,0,72.1186,0,0
1.04329,DL,104,3,0,1,3,1,0,5,5,19712,24,1,0,7.76352,1,1
1.04329,DL,104,3,0,1,3,3,0,5,5,10514,16,1,0,9.35312,0,6.21725e-15
1.0435,DL,104,3,0,4,3,1,0,4,4,19712,24,1,0,7.22819,1,1
1.0435,DL,104,3,0,4,3,3,0,4,4,6483,12,1,0,6.44967,0,0
1.04364,DL,104,3,0,7,2,1,0,3,3,13140,24,1,0,-5.31702,1,1
1.04364,DL,104,3,0,7,2,3,0,3,3,13140,24,1,0,-13.6684,1,1
1.04379,DL,104,3,0,9,2,1,0,2,2,13140,24,1,0,-3.85109,1,1
1.04379,DL,104,3,0,9,2,3,0,2,2,1110,4,1,0,-2.02898,0,0
1.04393,DL,104,3,0,11,2,1,0,1,1,13140,24,1,0,-3.3389,1,1
1.04393,DL,104,3,0,11,2,3,0,1,1,16118,28,1,0,44.9001,0,0
1.04429,DL,104,4,0,1,3,3,0,5,5,10514,16,1,0,65.103,0,0
1.0445,DL,104,4,0,4,3,3,0,4,4,6483,12,1,0,69.5135,0,0
1.04464,DL,104,4,0,7,2,3,0,3,3,13140,24,1,0,57.2767,0,6.11059e-07
1.04479,DL,104,4,0,9,2,3,0,2,2,1110,4,1,0,60.1342,0,0
1.04493,DL,104,4,0,1,12,1,0,1,1,13140,24,1,3,30.0474,0,0
1.04493,DL,104,4,0,11,2,3,0,1,1,16118,28,1,0,72.0939,0,0
1.04529,DL,104,5,0,1,3,3,0,5,5,10514,16,1,0,65.074,0,0
1.0455,DL,104,5,0,4,3,3,0,4,4,6483,12,1,0,69.5266,0,0
1.04564,DL,104,5,0,7,2,3,0,3,3,466,0,1,0,57.3251,0,0
1.04579,DL,104,5,0,9,2,3,0,2,2,1110,4,1,0,60.1234,0,0
1.04593,DL,104,5,0,1,12,1,0,2,2,13140,24,1,3,19.1871,0,0
1.04593,DL,104,5,0,11,2,3,0,1,1,16118,28,1,0,72.0906,0,0
1.04629,DL,104,6,0,1,3,1,0,5,5,19712,24,1,0,7.81296,1,1
1.04629,DL,104,6,0,1,3,3,0,5,5,10514,16,1,0,9.35778,0,4.66294e-15
1.0465,DL,104,6,0,4,3,1,0,4,4,19712,24,1,0,7.26946,1,1
1.0465,DL,104,6,0,4,3,3,0,4,4,6483,12,1,0,6.53678,0,0
1.04664,DL,104,6,0,7,2,1,0,3,3,13140,24,1,0,-5.3246,1,1
1.04664,DL,104,6,0,7,2,3,0,3,3,466,0,1,0,-13.4456,1,1
1.04679,DL,104,6,0,9,2,1,0,2,2,641,2,1,0,-3.88455,0,0
1.04679,DL,104,6,0,9,2,3,0,2,2,1110,4,1,0,-2.0201,0,0
1.04693,DL,104,6,0,11,2,1,0,1,1,641,2,1,0,-3.50863,0,0
1.04693,DL,104,6,0,11,2,3,0,1,1,16118,28,1,0,44.7334,0,0
1.04729,DL,104,7,0,1,3,1,0,5,5,24179,28,1,0,7.8429,1,1
1.04729,DL,104,7,0,1,3,3,0,5,5,11827,18,1,0,9.41903,1,1
1.0475,DL,104,7,0,4,3,1,0,4,4,24179,28,1,0,7.29181,1,1
1.0475,DL,104,7,0,4,3,3,0,4,4,6483,12,1,0,6.60911,0,0
1.04764,DL,104,7,0,7,2,1,0,3,3,16118,28,1,0,-5.29389,1,1
1.04764,DL,104,7,0,7,2,3,0,3,3,641,2,1,0,-13.4381,1,1
1.04779,DL,104,7,0,9,2,1,0,2,2,641,2,1,0,-3.88925,0,0
1.04779,DL,104,7,0,9,2,3,0,2,2,1110,4,1,0,-2.00329,0,0
1.04793,DL,104,7,0,11,2,1,0,1,1,16118,28,1,0,-3.45193,1,1
1.04793,DL,104,7,0,11,2,3,0,1,1,16118,28,1,0,44.6636,0,0
1.04893,DL,104,8,0,1,12,1,0,5,5,19712,24,1,1,59.8616,0,0
1.04893,DL,104,8,0,1,12,1,0,4,4,19712,24,1,1,72.4522,0,0
1.04893,DL,104,8,0,1,12,1,0,3,3,13140,24,1,1,60.503,0,0
1.04893,DL,104,8,0,1,12,1,0,1,1,13140,24,1,1,73.3265,0,0
1.04893,DL,104,8,0,1,12,3,0,3,3,13140,24,1,1,-4.83181,1,1
1.04929,DL,104,9,0,1,3,3,0,5,5,10514,16,1,0,65.1732,0,0
1.0495,DL,104,9,0,4,3,3,0,4,4,6483,12,1,0,69.6314,0,0
1.04964,DL,104,9,0,7,2,3,0,3,3,466,0,1,0,57.2604,0,0
1.04979,DL,104,9,0,9,2,3,0,2,2,1110,4,1,0,60.2764,0,0
1.04993,DL,104,9,0,1,12,1,0,2,2,13140,24,1,1,19.2748,0,0
1.04993,DL,104,9,0,11,2,3,0,1,1,16118,28,1,0,71.9927,0,0
1.05029,DL,105,0,0,1,3,1,0,5,5,8412,14,1,0,7.81494,0,0
1.05029,DL,105,0,0,1,3,3,0,5,5,19712,24,1,0,9.23061,1,1
1.0505,DL,105,0,0,4,3,1,0,4,4,8412,14,1,0,7.48035,0,0
1.0505,DL,105,0,0,4,3,3,0,4,4,19712,24,1,0,6.55074,1,1
1.05064,DL,105,0,0,7,2,1,0,3,3,641,2,1,0,-5.24264,0,3.50442e-13
1.05064,DL,105,0,0,7,2,3,0,3,3,13140,24,1,0,-13.6908,1,1
1.05079,DL,105,0,0,9,2,1,0,2,2,641,2,1,0,-3.90476,0,0
1.05079,DL,105,0,0,9,2,3,0,2,2,13140,24,1,0,-1.95742,1,1
1.05093,DL,105,0,0,11,2,1,0,1,1,16118,28,1,0,-3.62981,1,1
