time(s)	cellId	rnti	lcid	packetSize
1.24	4	2	3	2626
1.241	2	4	3	8409
1.241	2	3	3	1661
1.241	2	2	3	22335
1.241	2	1	3	1661
1.241	4	5	3	19709
1.241	4	4	3	19709
1.241	4	3	3	19709
1.241	4	2	3	19709
1.242	2	4	3	19709
1.242	2	3	3	19709
1.242	2	2	3	19709
1.242	2	1	3	19709
1.242	4	5	3	19709
1.242	4	4	3	19709
1.242	4	3	3	17080
1.242	4	2	3	19709
1.243	2	4	3	19709
1.243	2	3	3	17080
1.243	2	2	3	19709
1.243	2	1	3	19709
1.243	4	5	3	17080
1.243	4	4	3	14453
1.243	4	3	3	8409
1.243	4	2	3	14453
1.244	2	4	3	17080
