time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.0806	2	4	3	8409	0.0026
1.08103	4	1	3	16115	0.00302856
1.08239	4	5	3	10511	0.00238571
1.08274	2	3	3	638	0.00274285
1.08289	4	2	3	463	0.00288571
1.08303	2	1	3	638	0.00302856
1.08303	4	1	3	16115	0.00302856
1.08339	2	5	3	19709	0.00238571
1.0836	2	4	3	19709	0.0026
1.08374	2	3	3	13137	0.00274285
1.08389	2	2	3	13137	0.00288571
1.08403	4	3	3	13137	0.0130286
1.08403	2	1	3	13137	0.00302856
1.08439	2	5	3	19709	0.00238571
1.0846	2	4	3	19709	0.0026
1.08474	2	3	3	11387	0.00274285
1.08489	2	2	3	11387	0.00288571
1.08503	4	3	3	13137	0.0130286
1.08503	2	1	3	13137	0.00302856
1.08603	4	2	3	7882	0.00802856
1.08639	2	5	3	8409	0.00238571
1.08639	4	5	3	10511	0.00238571
1.0866	2	4	3	8409	0.0026
1.0866	4	4	3	6480	0.0026
1.08674	2	3	3	638	0.00274285
1.08689	2	2	3	1107	0.00288571
1.08689	4	2	3	1107	0.00288571
1.08703	2	1	3	638	0.00302856
1.08703	4	1	3	16115	0.00302856
1.08803	2	5	3	19709	0.00802856
1.08803	2	4	3	19709	0.00802856
1.08803	2	2	3	13137	0.00802856
1.08839	2	5	3	8409	0.00238571
1.08839	4	5	3	10511	0.00238571
1.0886	2	4	3	8409	0.0026
1.0886	4	4	3	6480	0.0026
1.08874	2	3	3	638	0.00274285
1.08889	2	2	3	1107	0.00288571
1.08889	4	2	3	1107	0.00288571
1.08903	2	1	3	638	0.00302856
1.08903	4	1	3	16115	0.00302856
1.08939	4	5	3	10511	0.00238571
1.0896	4	4	3	6480	0.0026
1.08989	4	2	3	1107	0.00288571
1.09003	4	1	3	16115	0.00302856
1.09096	4	4	3	24176	0.0129571
1.09103	2	3	3	9634	0.0130286
1.09103	2	2	3	9634	0.0130286
1.09103	2	1	3	16115	0.0130286
1.09139	2	5	3	19709	0.00238571
1.0916	2	4	3	19709	0.0026
1.09174	2	3	3	638	0.00274285
1.09189	2	2	3	1107	0.00288571
1.09203	4	3	3	463	0.00802856
1.09203	2	1	3	638	0.00302856
1.09239	2	5	3	8409	0.00238571
1.0926	2	4	3	8409	0.0026
1.09274	2	3	3	638	0.00274285
1.09289	2	2	3	1107	0.00288571
1.09303	4	4	3	24176	0.0130286
1.09303	4	3	3	463	0.0130286
