% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
1.048	3	0	10	1	105	0	0	11	2	12	1	0	28	16118
1.051	1	0	1	5	105	3	0	1	3	15	1	0	14	8412
1.051	1	0	2	4	105	3	0	4	3	15	1	0	14	8412
1.051	1	0	3	3	105	3	0	7	2	15	1	0	2	641
1.051	1	0	4	2	105	3	0	9	2	13	1	0	2	641
1.051	1	0	5	1	105	3	0	11	2	15	1	0	2	641
1.052	1	0	1	5	105	4	0	1	3	11	1	0	24	19712
1.052	1	0	2	4	105	4	0	4	3	11	1	0	24	19712
1.052	1	0	3	3	105	4	0	7	2	11	1	0	22	11390
1.052	1	0	4	2	105	4	0	9	2	14	1	0	2	641
1.052	1	0	5	1	105	4	0	11	2	14	1	0	22	11390
1.052	3	0	6	5	105	4	0	1	3	15	1	0	16	10514
1.052	3	0	7	4	105	4	0	4	3	15	1	0	14	8412
1.052	3	0	8	3	105	4	0	7	2	14	1	0	2	641
1.052	3	0	9	2	105	4	0	9	2	15	1	0	4	1110
1.052	3	0	10	1	105	4	0	11	2	15	1	0	28	16118
1.054	1	0	1	5	105	6	0	1	3	14	1	0	14	8412
1.054	1	0	2	4	105	6	0	4	3	14	1	0	14	8412
1.054	1	0	3	3	105	6	0	7	2	14	1	0	2	641
1.054	1	0	4	2	105	6	0	9	2	15	1	0	2	641
1.054	1	0	5	1	105	6	0	11	2	11	1	0	2	641
1.054	3	0	6	5	105	6	0	1	3	13	1	0	16	10514
1.054	3	0	7	4	105	6	0	4	3	14	1	0	14	8412
1.054	3	0	8	3	105	6	0	7	2	12	1	0	0	466
1.054	3	0	9	2	105	6	0	9	2	14	1	0	4	1110
1.054	3	0	10	1	105	6	0	11	2	14	1	0	28	16118
1.056	1	0	1	5	105	8	0	1	3	15	1	0	20	14456
1.056	1	0	2	4	105	8	0	4	3	15	1	0	20	14456
1.056	1	0	3	3	105	8	0	7	2	15	1	0	8	2570
1.056	1	0	4	2	105	8	0	9	2	13	1	0	2	641
1.056	1	0	5	1	105	8	0	11	2	15	1	0	8	2570
1.056	3	0	6	5	105	8	0	1	3	14	1	0	18	11827
1.056	3	0	7	4	105	8	0	4	3	13	1	0	14	8412
1.056	3	0	8	3	105	8	0	7	2	15	1	0	0	466
1.056	3	0	9	2	105	8	0	9	2	13	1	0	4	1110
1.056	3	0	10	1	105	8	0	11	2	13	1	0	28	16118
1.058	3	0	6	5	106	0	0	1	3	15	1	0	16	10514
1.058	3	0	7	4	106	0	0	4	3	15	1	0	14	8412
1.058	3	0	8	3	106	0	0	7	2	13	1	0	0	466
1.058	3	0	9	2	106	0	0	9	2	15	1	0	4	1110
1.058	3	0	10	1	106	0	0	11	2	15	1	0	28	16118
1.059	1	0	1	5	106	1	0	1	3	14	1	0	14	8412
1.059	1	0	2	4	106	1	0	4	3	14	1	0	14	8412
1.059	1	0	3	3	106	1	0	7	2	14	1	0	2	641
1.059	1	0	4	2	106	1	0	9	2	15	1	0	2	641
1.059	1	0	5	1	106	1	0	11	2	13	1	0	8	2570
1.06	1	0	1	5	106	2	0	1	3	13	1	0	14	8412
1.06	1	0	2	4	106	2	0	4	3	13	1	0	14	8412
