Time	CellId	RNTI	BWPId	SINR(dB)
1.42007	2	3	0	6.77785
1.42007	2	2	0	3.72423
1.42007	2	1	0	-3.3181
1.42007	4	5	0	4.30126
1.42007	4	4	0	-1.51125
1.42007	4	3	0	-21.1429
1.42007	4	2	0	-5.17989
1.42007	4	1	0	29.4791
1.42107	4	5	0	44.4285
1.42107	4	4	0	44.9273
1.42107	4	3	0	31.6741
1.42107	4	2	0	42.3095
1.42107	4	1	0	52.8802
1.42207	2	5	0	11.248
1.42207	2	4	0	4.40178
1.42207	2	3	0	6.86765
1.42207	2	2	0	3.74015
1.42207	2	1	0	-3.26115
1.42207	4	5	0	4.15538
1.42207	4	4	0	-1.55021
1.42207	4	3	0	-21.1074
1.42207	4	2	0	-5.23729
1.42207	4	1	0	29.6685
1.42307	2	5	0	11.4443
1.42307	2	4	0	4.33054
1.42307	2	3	0	7.25335
1.42307	2	2	0	3.8201
1.42307	2	1	0	-3.22052
1.42307	4	5	0	4.16416
1.42307	4	4	0	-1.55557
1.42307	4	3	0	-21.1678
1.42307	4	2	0	-5.22131
1.42307	4	1	0	30.6528
1.42407	4	5	0	44.4554
1.42407	4	4	0	44.942
1.42407	4	3	0	31.5268
1.42407	4	2	0	42.216
1.42407	4	1	0	52.906
1.42507	2	5	0	13.971
1.42507	2	4	0	4.26761
1.42507	2	3	0	9.33768
1.42507	2	2	0	4.16485
1.42507	2	1	0	-3.42217
1.42507	4	5	0	4.41737
1.42507	4	4	0	-1.51769
1.42507	4	3	0	-21.4207
1.42507	4	2	0	-5.2552
1.42507	4	1	0	28.3937
1.42607	4	5	0	44.5668
1.42607	4	4	0	44.8782
1.42607	4	3	0	31.2959
1.42607	4	2	0	42.2246
1.42607	4	1	0	52.871
1.42707	2	5	0	11.0029
1.42707	2	4	0	4.23899
1.42707	2	3	0	7.59849
1.42707	2	2	0	4.36553
1.42707	2	1	0	-3.55806
1.42707	4	5	0	4.62449
1.42707	4	4	0	-1.71951
1.42707	4	3	0	-21.4931
1.42707	4	2	0	-5.12681
1.42707	4	1	0	28.5147
1.42807	4	5	0	44.6861
1.42807	4	4	0	44.6476
1.42807	4	3	0	31.3253
1.42807	4	2	0	42.218
1.42807	4	1	0	52.9438
1.43007	2	5	0	10.9235
1.43007	2	4	0	4.32801
1.43007	2	3	0	7.021
1.43007	2	2	0	4.72853
1.43007	2	1	0	-3.71764
1.43007	4	5	0	4.40413
1.43007	4	4	0	-2.06001
1.43007	4	3	0	-21.5016
1.43007	4	2	0	-5.28573
1.43007	4	1	0	28.5941
1.43207	2	5	0	11.0113
1.43207	2	4	0	4.28692
1.43207	2	3	0	7.07773
1.43207	2	2	0	4.5816
1.43207	2	1	0	-3.71857
1.43207	4	5	0	4.571
1.43207	4	4	0	-2.27392
1.43207	4	3	0	-21.2314
1.43207	4	2	0	-5.23686
1.43207	4	1	0	27.977
1.43507	2	5	0	11.1839
1.43507	2	4	0	4.38998
1.43507	2	3	0	7.0452
1.43507	2	2	0	4.58523
1.43507	2	1	0	-3.77463
1.43507	4	5	0	4.71136
1.43507	4	4	0	-2.84855
1.43507	4	3	0	-21.334
1.43507	4	2	0	-5.10319
1.43507	4	1	0	29.5599
1.43907	4	5	0	44.9097
1.43907	4	4	0	43.2566
1.43907	4	3	0	31.1797
1.43907	4	2	0	41.907
1.43907	4	1	0	53.2671
1.44007	2	5	0	11.5495
1.44007	2	4	0	4.44369
1.44007	2	3	0	9.46743
1.44007	2	2	0	4.25074
1.44007	2	1	0	-3.66771
1.44007	4	5	0	4.7546
1.44007	4	4	0	-3.54857
1.44007	4	3	0	-21.5745
1.44007	4	2	0	-5.38927
1.44007	4	1	0	28.7636
1.44507	2	5	0	11.4936
1.44507	2	4	0	4.20641
1.44507	2	3	0	9.33757
1.44507	2	2	0	3.89073
1.44507	2	1	0	-3.80444
1.44507	4	5	0	5.01633
1.44507	4	4	0	-3.95381
1.44507	4	3	0	-21.3233
1.44507	4	2	0	-5.47487
1.44507	4	1	0	29.4529
1.45007	2	5	0	11.9142
1.45007	2	4	0	4.27036
1.45007	2	3	0	6.40093
1.45007	2	2	0	3.1486
1.45007	2	1	0	-3.6975
1.45007	4	5	0	4.87235
1.45007	4	4	0	-3.68446
1.45007	4	3	0	-21.4836
1.45007	4	2	0	-5.5412
1.45007	4	1	0	29.5313
1.45507	2	5	0	11.6465
1.45507	2	4	0	3.96284
